Nama Tempat,Alamat,Rating,Jumlah Review,Ketersediaan Telepon,Website,Latitude,Longitude,Aksesibilitas Difabel,Jenis Tempat,Kota/Kabupaten,24 Jam,Jam Buka,Jam Tutup,Status Operasional,Telepon,Skor Aksesibilitas,Status Aksesibilitas
Masjid Jami' Al Hidayah,"Jl. Pekalipan, Selatan, Pulasaren, Kec. Pekalipan, Kota Cirebon","4,7",220,Tidak Ada,Tidak Tersedia,-6.7269758,108.563295,,Masjid,Kota Cirebon,TRUE,0:00,23:59,24 jam,,0,Tidak Tersedia
Masjid Agung Dog Jumeneng,"Astana, Kec. Gunungjati, Kabupaten Cirebon","4,6",130,Tidak Ada,Tidak Tersedia,-6.6712294,108.5406382,,Masjid,Kabupaten Cirebon,TRUE,0:00,23:59,24 jam,,0,Tidak Tersedia
Masjid An-Nur,"Jl. Kantor No.34, Panjunan, Kec. Lemahwungkuk, Kota Cirebon","4,7",1400,Tidak Ada,Tidak Tersedia,-6.718755,108.568857,['Tidak memiliki tempat parkir khusus pengguna kursi roda'],Masjid,Kota Cirebon,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid LAUTZE 3 Cirebon- Jawa Barat,"Jl. Pekalipan No.62, Pekalipan, Kec. Pekalipan, Kota Cirebon","5,0",310,Ada,Tidak Tersedia,-6.7225811,108.5624222,,Masjid,Kota Cirebon,FALSE,3:30,22:00,Normal,816646869,0,Tidak Tersedia
Masjid Al Jama'ah,"Jalan Werkudara Raya, Kedawung, Sunyaragi, Kec. Kesambi, Kota Cirebon","4,7",460,Tidak Ada,Tidak Tersedia,-6.7263098,108.5355691,,Masjid,Kota Cirebon,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
MASJID DARUL MUTTAQIN,"Jl. Karang Jalak, Sunyaragi, Kec. Kesambi, Kota Cirebon","4,7",350,Tidak Ada,Tidak Tersedia,-6.7308276,108.5453775,['Tidak memiliki pintu masuk khusus pengguna kursi roda'],Masjid,Kota Cirebon,FALSE,4:41,19:11,Normal,,0,Tidak Tersedia
Masjid At-Taubah,"Majasem Kel. Kec., Jl. Perjuangan, Karyamulya, Kec. Kesambi, Kota Cirebon","4,7",830,Tidak Ada,Tidak Tersedia,-6.7427115,108.5231823,,Masjid,Kota Cirebon,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Sa'adatul 'Amal Cimanuk BBWS,"Jl. Pemuda Raya No.63, Sunyaragi, Kec. Kesambi, Kota Cirebon","4,9",110,Tidak Ada,Tidak Tersedia,-6.7301273,108.5428056,,Masjid,Kota Cirebon,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Al-Amien,"Jl. Swasembada I No.20, Karyamulya, Kec. Kesambi, Kota Cirebon","4,9",230,Tidak Ada,Tidak Tersedia,-6.7424416,108.5263576,['Tidak memiliki tempat parkir khusus pengguna kursi roda'],Masjid,Kota Cirebon,TRUE,0:00,23:59,24 jam,,0,Tidak Tersedia
Masjid Sunan Gunung Jati (GARMINI),"Jl. Kesambi No.94, Kesambi, Kec. Kesambi, Kota Cirebon","4,7",4740,Ada,Tidak Tersedia,-6.7344276,108.5520797,,Masjid,Kota Cirebon,TRUE,0:00,23:59,24 jam,82317753353,0,Tidak Tersedia
Masjid Al Muhajirin,"Komplek Mega Nusa Indah, Jalan Sekar Kemuning, Karyamulya, Kec. Kesambi, Kota Cirebon","4,8",1430,Tidak Ada,Tidak Tersedia,-6.7431711,108.5320667,,Masjid,Kota Cirebon,TRUE,0:00,23:59,24 jam,,0,Tidak Tersedia
Masjid Jami Al Bahar Komplek TNI AL,"Komplek TNI AL, Pekiringan, Kec. Kesambi, Kabupaten Cirebon","4,9",370,Tidak Ada,Tidak Tersedia,-6.7226415,108.5484788,['Tidak memiliki pintu masuk khusus pengguna kursi roda'],Masjid,Kabupaten Cirebon,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Ar-Rahman,"Jl. Evakuasi No.1A, Karyamulya, Kec. Kesambi, Kota Cirebon","4,6",1050,Ada,Tidak Tersedia,-6.7439888,108.5398505,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']",Masjid,Kota Cirebon,TRUE,0:00,23:59,24 jam,231488752,0,Tidak Tersedia
